מספר מסלול,שם קובץ,סוג נקודה,קואורדינטות,lat,lon
97,2021-09-09_יחיעם_געתון.gpx,סיום,"(33.005015, 35.215492)",33.0050146,35.215492
98,2021-09-10_יחיעם_כליל_געתון.gpx,התחלה,"(33.005185, 35.215516)",33.0051847,35.2155161
98,2021-09-10_יחיעם_כליל_געתון.gpx,סיום,"(33.005039, 35.215470)",33.0050388,35.2154697
100,2021-09-12_יחיעם_נווה זיו_געתון.gpx,התחלה,"(33.005060, 35.215452)",33.0050599,35.2154525
100,2021-09-12_יחיעם_נווה זיו_געתון.gpx,סיום,"(33.005017, 35.215468)",33.0050167,35.215468
101,2021-09-14_יחיעם_נווה זיו_געתון.gpx,התחלה,"(33.005045, 35.215443)",33.0050451,35.2154434
101,2021-09-14_יחיעם_נווה זיו_געתון.gpx,סיום,"(33.005029, 35.215446)",33.0050288,35.2154455
102,2021-09-16_יחיעם_נווה זיו_געתון.gpx,התחלה,"(33.005017, 35.215478)",33.0050171,35.215478
102,2021-09-16_יחיעם_נווה זיו_געתון.gpx,סיום,"(33.005048, 35.215536)",33.0050483,35.2155361
103,2021-09-17_יחיעם_כליל_געתון.gpx,התחלה,"(33.005069, 35.215455)",33.0050695,35.2154554
103,2021-09-17_יחיעם_כליל_געתון.gpx,סיום,"(33.005060, 35.215474)",33.00506,35.2154737
106,2021-09-24_יחיעם_כליל_געתון.gpx,התחלה,"(33.005044, 35.215445)",33.0050444,35.2154453
106,2021-09-24_יחיעם_כליל_געתון.gpx,סיום,"(33.005054, 35.215462)",33.0050535,35.215462
108,2021-09-26_יחיעם_נווה זיו_געתון.gpx,התחלה,"(33.004986, 35.215498)",33.0049863,35.2154983
108,2021-09-26_יחיעם_נווה זיו_געתון.gpx,סיום,"(33.005037, 35.215480)",33.0050372,35.2154799
109,2021-10-03_יחיעם_געתון.gpx,התחלה,"(33.005021, 35.215468)",33.0050213,35.2154677
109,2021-10-03_יחיעם_געתון.gpx,סיום,"(33.005017, 35.215478)",33.0050171,35.2154783
110,2021-10-06_יחיעם_געתון.gpx,התחלה,"(33.005039, 35.215434)",33.0050386,35.2154342
110,2021-10-06_יחיעם_געתון.gpx,סיום,"(33.005050, 35.215475)",33.0050501,35.2154751
112,2021-10-15_מטולה.gpx,התחלה,"(32.938467, -117.197899)",32.9384673,-117.197899
112,2021-10-15_מטולה.gpx,סיום,"(32.938732, -117.198271)",32.9387318,-117.1982709
113,2021-10-30_יחיעם_כליל_געתון.gpx,התחלה,"(33.005067, 35.215470)",33.0050674,35.2154703
113,2021-10-30_יחיעם_כליל_געתון.gpx,סיום,"(33.005046, 35.215503)",33.0050464,35.2155034
114,2021-11-01_יחיעם_כליל_געתון.gpx,התחלה,"(33.005050, 35.215487)",33.0050501,35.2154873
114,2021-11-01_יחיעם_כליל_געתון.gpx,סיום,"(33.004999, 35.215528)",33.0049988,35.2155284
115,2021-11-03_יחיעם_כליל_געתון.gpx,התחלה,"(33.005038, 35.215435)",33.0050378,35.215435
115,2021-11-03_יחיעם_כליל_געתון.gpx,סיום,"(33.005039, 35.215465)",33.0050386,35.2154649
116,2021-11-05_יחיעם_כליל_געתון.gpx,התחלה,"(33.005070, 35.215502)",33.0050697,35.2155019
116,2021-11-05_יחיעם_כליל_געתון.gpx,סיום,"(33.005009, 35.215515)",33.0050087,35.2155154
118,2021-11-08_נווה זוהר.gpx,התחלה,"(31.197084, 35.360776)",31.197084,35.3607756
118,2021-11-08_נווה זוהר.gpx,סיום,"(31.197128, 35.360757)",31.1971281,35.3607574
119,2021-11-09_נווה זוהר.gpx,התחלה,"(31.197104, 35.360836)",31.1971045,35.3608357
119,2021-11-09_נווה זוהר.gpx,סיום,"(31.197136, 35.360760)",31.1971362,35.3607603
120,2021-11-10_נווה זוהר.gpx,התחלה,"(31.197106, 35.360886)",31.1971063,35.3608863
120,2021-11-10_נווה זוהר.gpx,סיום,"(31.197102, 35.360762)",31.1971018,35.3607624
121,2021-11-11_נווה זוהר.gpx,התחלה,"(31.197105, 35.360749)",31.1971048,35.3607489
121,2021-11-11_נווה זוהר.gpx,סיום,"(31.197028, 35.360769)",31.1970285,35.3607687
122,2021-11-19_יחיעם_נווה זיו_געתון.gpx,התחלה,"(33.005069, 35.215488)",33.0050689,35.2154882
122,2021-11-19_יחיעם_נווה זיו_געתון.gpx,סיום,"(33.005083, 35.215495)",33.0050832,35.2154952
123,2021-11-22_יחיעם_נווה זיו_געתון.gpx,התחלה,"(33.005046, 35.215476)",33.0050464,35.2154759
123,2021-11-22_יחיעם_נווה זיו_געתון.gpx,סיום,"(33.005010, 35.215550)",33.0050098,35.2155498
124,2021-11-23_יחיעם_נווה זיו_געתון.gpx,התחלה,"(33.005017, 35.215426)",33.0050167,35.215426
124,2021-11-23_יחיעם_נווה זיו_געתון.gpx,סיום,"(33.005084, 35.215503)",33.0050841,35.2155029
125,2021-11-27_יחיעם_מעונה.gpx,התחלה,"(33.005051, 35.215516)",33.0050513,35.2155158
125,2021-11-27_יחיעם_מעונה.gpx,סיום,"(33.021595, 35.261969)",33.0215952,35.2619685
126,2021-11-28_יחיעם_כליל_געתון.gpx,התחלה,"(33.005139, 35.215509)",33.0051389,35.2155088
126,2021-11-28_יחיעם_כליל_געתון.gpx,סיום,"(33.005041, 35.215502)",33.0050406,35.2155016
127,2021-12-03_יחיעם_כליל_געתון.gpx,התחלה,"(33.005051, 35.215485)",33.005051,35.2154849
127,2021-12-03_יחיעם_כליל_געתון.gpx,סיום,"(33.005049, 35.215503)",33.0050489,35.2155028
129,2021-12-05_כפר מסריק_עין המפרץ.gpx,התחלה,"(32.895678, 35.095905)",32.8956781,35.0959052
129,2021-12-05_כפר מסריק_עין המפרץ.gpx,סיום,"(32.895695, 35.095950)",32.8956949,35.0959496
130,2021-12-08_יחיעם_כליל_געתון.gpx,התחלה,"(33.005045, 35.215490)",33.0050449,35.21549
130,2021-12-08_יחיעם_כליל_געתון.gpx,סיום,"(33.005040, 35.215462)",33.0050397,35.2154617
131,2021-12-09_יחיעם_נווה זיו_געתון.gpx,התחלה,"(33.005038, 35.215485)",33.0050385,35.2154846
131,2021-12-09_יחיעם_נווה זיו_געתון.gpx,סיום,"(33.004966, 35.215530)",33.004966,35.2155296
132,2021-12-10_יחיעם_כליל_געתון.gpx,התחלה,"(33.005107, 35.215458)",33.0051067,35.2154584
132,2021-12-10_יחיעם_כליל_געתון.gpx,סיום,"(33.005042, 35.215486)",33.0050424,35.2154865
133,2021-12-13_נווה זוהר.gpx,התחלה,"(31.197259, 35.361382)",31.1972593,35.3613821
133,2021-12-13_נווה זוהר.gpx,סיום,"(31.196983, 35.361255)",31.1969832,35.3612549
134,2021-12-14_נווה זוהר.gpx,התחלה,"(31.197138, 35.361223)",31.1971383,35.3612231
134,2021-12-14_נווה זוהר.gpx,סיום,"(31.197147, 35.361297)",31.1971475,35.3612965
135,2021-12-15_נווה זוהר.gpx,התחלה,"(31.197096, 35.361374)",31.1970958,35.3613738
135,2021-12-15_נווה זוהר.gpx,סיום,"(31.197011, 35.361294)",31.1970113,35.3612936
