שם נוכחי,שם מוצע,השתנה?,"אורך (ק""מ)",מעגלי?
2022-11-18_געתון_יחיעם_עין יעקב.gpx,2022-11-18_יחיעם_כברי_געתון.gpx,True,24.0,True
2022-11-19_מעיליא_געתון_מעונה.gpx,2022-11-19_יחיעם_מעיליא_מעונה.gpx,True,14.0,False
2022-11-23_13-09-57_fi_B19F8437-B851-4BC6-A0E6-4EA258828F4A.gpx,2022-11-23_מצובה_יערה.gpx,True,14.2,True
2022-11-30_כברי_לימן_גשר הזיו.gpx,2022-11-30_כברי_כפר ראש הנקרה_סער.gpx,True,26.7,True
2022-12-05_נווה זוהר_ערד.gpx,2022-12-05_נווה זוהר.gpx,True,18.7,True
2022-12-06_נווה זוהר_ערד.gpx,2022-12-06_נווה זוהר.gpx,True,18.6,True
2022-12-07_נווה זוהר_ערד.gpx,2022-12-07_נווה זוהר.gpx,True,18.8,True
2022-12-08_נווה זוהר_ערד.gpx,2022-12-08_נווה זוהר.gpx,True,20.3,True
2022-12-12_געתון_יחיעם_עין יעקב.gpx,2022-12-12_יחיעם_נווה זיו_געתון.gpx,True,15.1,True
2022-12-16_געתון_יחיעם_עין יעקב.gpx,2022-12-16_יחיעם_כברי_געתון.gpx,True,20.3,True
2022-12-17_מנות_מעיליא_הילה.gpx,2022-12-17_יחיעם_כברי_מעונה.gpx,True,22.9,False
2022-12-21_געתון_יחיעם.gpx,2022-12-21_יחיעם_נווה זיו_געתון.gpx,True,18.8,True
2022-12-28_געתון_גשר הזיו_כברי.gpx,2022-12-28_יחיעם_כברי_כפר ראש הנקרה_כברי_געתון.gpx,True,42.7,True
2023-01-09_געתון_יחיעם.gpx,2023-01-09_יחיעם_נווה זיו_געתון.gpx,True,8.9,True
2023-01-11_מצובה_יערה.gpx,2023-01-11_מצובה_יערה.gpx,False,11.5,True
2023-01-18_געתון_כברי_גשר הזיו.gpx,2023-01-18_יחיעם_גשר הזיו_געתון.gpx,True,28.7,True
2023-01-25_נווה זוהר_ערד.gpx,2023-01-25_נווה זוהר.gpx,True,18.9,True
2023-01-26_נווה זוהר_ערד.gpx,2023-01-26_נווה זוהר.gpx,True,20.4,True
